method,dataset,metric,embedding_type,result
scIMF,GarciaAlonsoDataset,ARI,ground_truth,0.005494305692469423
scIMF,GarciaAlonsoDataset,ARI,projected,0.026573567360030186
scIMF,GarciaAlonsoDataset,ARI,ground_truth,0.2514001204064234
scIMF,GarciaAlonsoDataset,ARI,projected,0.07056217527871293
scIMF,MaDataset,ARI,ground_truth,0.010470396127165736
scIMF,MaDataset,ARI,projected,0.011553396018764992
scIMF,MaDataset,ARI,ground_truth,0.16325612305321602
scIMF,MaDataset,ARI,projected,0.011696531894387588
scIMF,SuoDataset,ClassificationEntropy,ground_truth,0.7984280157349122
scIMF,SuoDataset,ClassificationEntropy,projected,0.7677016419584805
scIMF,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.6375993368570775
scIMF,GarciaAlonsoDataset,ClassificationEntropy,projected,0.6369209724437805
scIMF,MaDataset,ClassificationEntropy,ground_truth,0.4299730779007972
scIMF,MaDataset,ClassificationEntropy,projected,0.43878134400802216
PRESCIENT,GarciaAlonsoDataset,ARI,ground_truth,0.003422173723859249
PRESCIENT,GarciaAlonsoDataset,ARI,projected,0.007394007930642128
PRESCIENT,GarciaAlonsoDataset,ARI,ground_truth,0.21516354590536022
PRESCIENT,GarciaAlonsoDataset,ARI,projected,0.02099161106870279
PRESCIENT,MaDataset,ARI,ground_truth,0.0044799572425289575
PRESCIENT,MaDataset,ARI,projected,0.01361289090589915
PRESCIENT,MaDataset,ARI,ground_truth,0.14867571711766805
PRESCIENT,MaDataset,ARI,projected,0.027857897244441984
PRESCIENT,SuoDataset,ClassificationEntropy,ground_truth,0.801340231246295
PRESCIENT,SuoDataset,ClassificationEntropy,projected,0.7759945236706013
PRESCIENT,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.6427565589073925
PRESCIENT,GarciaAlonsoDataset,ClassificationEntropy,projected,0.6521964355751668
PRESCIENT,MaDataset,ClassificationEntropy,ground_truth,0.43307875202914414
PRESCIENT,MaDataset,ClassificationEntropy,projected,0.45365269777914374
MIOFlow,SuoDataset,ARI,ground_truth,0.00022935948932837998
MIOFlow,SuoDataset,ARI,projected,0.008553243577593838
MIOFlow,SuoDataset,ARI,ground_truth,0.3243353729162062
MIOFlow,SuoDataset,ARI,projected,0.009375081299059854
MIOFlow,GarciaAlonsoDataset,ARI,ground_truth,0.0032006970219879975
MIOFlow,GarciaAlonsoDataset,ARI,projected,0.009390836693931174
MIOFlow,GarciaAlonsoDataset,ARI,ground_truth,0.2169210543759813
MIOFlow,GarciaAlonsoDataset,ARI,projected,0.018735620965098978
MIOFlow,MaDataset,ARI,ground_truth,0.008533471790718788
MIOFlow,MaDataset,ARI,projected,0.008746611495679348
MIOFlow,MaDataset,ARI,ground_truth,0.16716653298803838
MIOFlow,MaDataset,ARI,projected,0.010248588163160152
MIOFlow,SuoDataset,ClassificationEntropy,ground_truth,0.7983014570394029
MIOFlow,SuoDataset,ClassificationEntropy,projected,0.7681435791978778
MIOFlow,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.6387063465545505
MIOFlow,GarciaAlonsoDataset,ClassificationEntropy,projected,0.6380391659440501
MIOFlow,MaDataset,ClassificationEntropy,ground_truth,0.43318760316825206
MIOFlow,MaDataset,ClassificationEntropy,projected,0.43908673345739374
scNODE,SuoDataset,ARI,ground_truth,0.38192706036023616
scNODE,SuoDataset,ARI,projected,0.5345813087262138
scNODE,SuoDataset,ARI,ground_truth,0.3331874099076162
scNODE,SuoDataset,ARI,projected,0.27505602490720404
scNODE,GarciaAlonsoDataset,ARI,ground_truth,0.18450427915032047
scNODE,GarciaAlonsoDataset,ARI,projected,0.2387451520252424
scNODE,GarciaAlonsoDataset,ARI,ground_truth,0.21619511571096697
scNODE,GarciaAlonsoDataset,ARI,projected,0.09802451682188963
scNODE,MaDataset,ARI,ground_truth,0.13967486583795666
scNODE,MaDataset,ARI,projected,0.1345174698455906
scNODE,MaDataset,ARI,ground_truth,0.14889510330940162
scNODE,MaDataset,ARI,projected,0.07816615674998623
scNODE,SuoDataset,ClassificationEntropy,ground_truth,0.2922871571457284
scNODE,SuoDataset,ClassificationEntropy,projected,0.29978051449075477
scNODE,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.45842520575727785
scNODE,GarciaAlonsoDataset,ClassificationEntropy,projected,0.5124749847243092
scNODE,MaDataset,ClassificationEntropy,ground_truth,0.2744300461940471
scNODE,MaDataset,ClassificationEntropy,projected,0.37950230516660527
CellMNN,SuoDataset,ARI,ground_truth,0.3083635143287838
CellMNN,SuoDataset,ARI,projected,0.3283961919539963
CellMNN,SuoDataset,ARI,ground_truth,0.330304225445879
CellMNN,SuoDataset,ARI,projected,0.2703826734845236
CellMNN,GarciaAlonsoDataset,ARI,ground_truth,0.2301683109816149
CellMNN,GarciaAlonsoDataset,ARI,projected,0.2644711614196615
CellMNN,GarciaAlonsoDataset,ARI,ground_truth,0.21779392973609057
CellMNN,GarciaAlonsoDataset,ARI,projected,0.20470671483119368
CellMNN,MaDataset,ARI,ground_truth,0.1328425982614496
CellMNN,MaDataset,ARI,projected,0.17562095579950987
CellMNN,MaDataset,ARI,ground_truth,0.14860561263204158
CellMNN,MaDataset,ARI,projected,0.19751944211227387
CellMNN,SuoDataset,ClassificationEntropy,ground_truth,0.2028514369626735
CellMNN,SuoDataset,ClassificationEntropy,projected,0.17608461463036476
CellMNN,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.19316370897800764
CellMNN,GarciaAlonsoDataset,ClassificationEntropy,projected,0.14004107612745947
CellMNN,MaDataset,ClassificationEntropy,ground_truth,0.230808882294947
CellMNN,MaDataset,ClassificationEntropy,projected,0.12950933862090833
PISDE,SuoDataset,ARI,ground_truth,0.00019622924647718615
PISDE,SuoDataset,ARI,projected,0.00821998540470545
PISDE,SuoDataset,ARI,ground_truth,0.33892931674078897
PISDE,SuoDataset,ARI,projected,0.007542426515889697
PISDE,GarciaAlonsoDataset,ARI,ground_truth,0.0030623348983177096
PISDE,GarciaAlonsoDataset,ARI,projected,0.0071560751275898254
PISDE,GarciaAlonsoDataset,ARI,ground_truth,0.21356438892862561
PISDE,GarciaAlonsoDataset,ARI,projected,0.016639894179769646
PISDE,MaDataset,ARI,ground_truth,0.008043639892374055
PISDE,MaDataset,ARI,projected,0.011806589106263888
PISDE,MaDataset,ARI,ground_truth,0.1472732567819414
PISDE,MaDataset,ARI,projected,0.001192374168058393
PISDE,SuoDataset,ClassificationEntropy,ground_truth,0.8007916269725558
PISDE,SuoDataset,ClassificationEntropy,projected,0.7752048906661688
PISDE,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.6409806929127218
PISDE,GarciaAlonsoDataset,ClassificationEntropy,projected,0.6495732184627129
PISDE,MaDataset,ClassificationEntropy,ground_truth,0.4249358931452176
PISDE,MaDataset,ClassificationEntropy,projected,0.453877602785144
Squidiff,SuoDataset,ARI,ground_truth,0.38853384155560444
Squidiff,SuoDataset,ARI,projected,0.4205836991281646
Squidiff,SuoDataset,ARI,ground_truth,0.31808488258990947
Squidiff,SuoDataset,ARI,projected,0.027738008405950317
Squidiff,GarciaAlonsoDataset,ARI,ground_truth,0.2215426209506609
Squidiff,GarciaAlonsoDataset,ARI,projected,0.3845256460796889
Squidiff,GarciaAlonsoDataset,ARI,ground_truth,0.2183803416667491
Squidiff,GarciaAlonsoDataset,ARI,projected,0.0001330537232658333
Squidiff,MaDataset,ARI,ground_truth,0.1723355813656872
Squidiff,MaDataset,ARI,projected,0.08688934448347091
Squidiff,MaDataset,ARI,ground_truth,0.14768900202248217
Squidiff,MaDataset,ARI,projected,0.0
Squidiff,SuoDataset,ClassificationEntropy,ground_truth,0.2306825390077262
Squidiff,SuoDataset,ClassificationEntropy,projected,0.7009580846096403
Squidiff,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.2846407939430951
Squidiff,GarciaAlonsoDataset,ClassificationEntropy,projected,0.794694316973124
Squidiff,MaDataset,ClassificationEntropy,ground_truth,0.31511538415113755
Squidiff,MaDataset,ClassificationEntropy,projected,0.6289813792918135
PRESCIENT,SuoDataset,ARI,ground_truth,0.00021881447918587374
PRESCIENT,SuoDataset,ARI,projected,0.008127245253760466
PRESCIENT,SuoDataset,ARI,ground_truth,0.3493131524457149
PRESCIENT,SuoDataset,ARI,projected,0.013748698318313195
scIMF,SuoDataset,ARI,ground_truth,0.00089958115112207
scIMF,SuoDataset,ARI,projected,0.022087240957712372
scIMF,SuoDataset,ARI,ground_truth,0.35007578908983084
scIMF,SuoDataset,ARI,projected,0.04145847292842109
scIMF,GarciaAlonsoDataset,ARI,ground_truth,0.005494305692469423
scIMF,GarciaAlonsoDataset,ARI,projected,0.026573567360030186
scIMF,GarciaAlonsoDataset,ARI,ground_truth,0.2514001204064234
scIMF,GarciaAlonsoDataset,ARI,projected,0.07056217527871293
scIMF,MaDataset,ARI,ground_truth,0.010470396127165736
scIMF,MaDataset,ARI,projected,0.011553396018764992
scIMF,MaDataset,ARI,ground_truth,0.16325612305321602
scIMF,MaDataset,ARI,projected,0.011696531894387588
scIMF,SuoDataset,ClassificationEntropy,ground_truth,0.7984280157349122
scIMF,SuoDataset,ClassificationEntropy,projected,0.7677016419584805
scIMF,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.6375993368570775
scIMF,GarciaAlonsoDataset,ClassificationEntropy,projected,0.6369209724437805
scIMF,MaDataset,ClassificationEntropy,ground_truth,0.4299730779007972
scIMF,MaDataset,ClassificationEntropy,projected,0.43878134400802216
PRESCIENT,GarciaAlonsoDataset,ARI,ground_truth,0.003422173723859249
PRESCIENT,GarciaAlonsoDataset,ARI,projected,0.007394007930642128
PRESCIENT,GarciaAlonsoDataset,ARI,ground_truth,0.21516354590536022
PRESCIENT,GarciaAlonsoDataset,ARI,projected,0.02099161106870279
PRESCIENT,MaDataset,ARI,ground_truth,0.0044799572425289575
PRESCIENT,MaDataset,ARI,projected,0.01361289090589915
PRESCIENT,MaDataset,ARI,ground_truth,0.14867571711766805
PRESCIENT,MaDataset,ARI,projected,0.027857897244441984
PRESCIENT,SuoDataset,ClassificationEntropy,ground_truth,0.801340231246295
PRESCIENT,SuoDataset,ClassificationEntropy,projected,0.7759945236706013
PRESCIENT,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.6427565589073925
PRESCIENT,GarciaAlonsoDataset,ClassificationEntropy,projected,0.6521964355751668
PRESCIENT,MaDataset,ClassificationEntropy,ground_truth,0.43307875202914414
PRESCIENT,MaDataset,ClassificationEntropy,projected,0.45365269777914374
MIOFlow,SuoDataset,ARI,ground_truth,0.00022935948932837998
MIOFlow,SuoDataset,ARI,projected,0.008553243577593838
MIOFlow,SuoDataset,ARI,ground_truth,0.3243353729162062
MIOFlow,SuoDataset,ARI,projected,0.009375081299059854
MIOFlow,GarciaAlonsoDataset,ARI,ground_truth,0.0032006970219879975
MIOFlow,GarciaAlonsoDataset,ARI,projected,0.009390836693931174
MIOFlow,GarciaAlonsoDataset,ARI,ground_truth,0.2169210543759813
MIOFlow,GarciaAlonsoDataset,ARI,projected,0.018735620965098978
MIOFlow,MaDataset,ARI,ground_truth,0.008533471790718788
MIOFlow,MaDataset,ARI,projected,0.008746611495679348
MIOFlow,MaDataset,ARI,ground_truth,0.16716653298803838
MIOFlow,MaDataset,ARI,projected,0.010248588163160152
MIOFlow,SuoDataset,ClassificationEntropy,ground_truth,0.7983014570394029
MIOFlow,SuoDataset,ClassificationEntropy,projected,0.7681435791978778
MIOFlow,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.6387063465545505
MIOFlow,GarciaAlonsoDataset,ClassificationEntropy,projected,0.6380391659440501
MIOFlow,MaDataset,ClassificationEntropy,ground_truth,0.43318760316825206
MIOFlow,MaDataset,ClassificationEntropy,projected,0.43908673345739374
scNODE,SuoDataset,ARI,ground_truth,0.38192706036023616
scNODE,SuoDataset,ARI,projected,0.5345813087262138
scNODE,SuoDataset,ARI,ground_truth,0.3331874099076162
scNODE,SuoDataset,ARI,projected,0.27505602490720404
scNODE,GarciaAlonsoDataset,ARI,ground_truth,0.18450427915032047
scNODE,GarciaAlonsoDataset,ARI,projected,0.2387451520252424
scNODE,GarciaAlonsoDataset,ARI,ground_truth,0.21619511571096697
scNODE,GarciaAlonsoDataset,ARI,projected,0.09802451682188963
scNODE,MaDataset,ARI,ground_truth,0.13967486583795666
scNODE,MaDataset,ARI,projected,0.1345174698455906
scNODE,MaDataset,ARI,ground_truth,0.14889510330940162
scNODE,MaDataset,ARI,projected,0.07816615674998623
scNODE,SuoDataset,ClassificationEntropy,ground_truth,0.2922871571457284
scNODE,SuoDataset,ClassificationEntropy,projected,0.29978051449075477
scNODE,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.45842520575727785
scNODE,GarciaAlonsoDataset,ClassificationEntropy,projected,0.5124749847243092
scNODE,MaDataset,ClassificationEntropy,ground_truth,0.2744300461940471
scNODE,MaDataset,ClassificationEntropy,projected,0.37950230516660527
CellMNN,SuoDataset,ARI,ground_truth,0.3083635143287838
CellMNN,SuoDataset,ARI,projected,0.3283961919539963
CellMNN,SuoDataset,ARI,ground_truth,0.330304225445879
CellMNN,SuoDataset,ARI,projected,0.2703826734845236
CellMNN,GarciaAlonsoDataset,ARI,ground_truth,0.2301683109816149
CellMNN,GarciaAlonsoDataset,ARI,projected,0.2644711614196615
CellMNN,GarciaAlonsoDataset,ARI,ground_truth,0.21779392973609057
CellMNN,GarciaAlonsoDataset,ARI,projected,0.20470671483119368
CellMNN,MaDataset,ARI,ground_truth,0.1328425982614496
CellMNN,MaDataset,ARI,projected,0.17562095579950987
CellMNN,MaDataset,ARI,ground_truth,0.14860561263204158
CellMNN,MaDataset,ARI,projected,0.19751944211227387
CellMNN,SuoDataset,ClassificationEntropy,ground_truth,0.2028514369626735
CellMNN,SuoDataset,ClassificationEntropy,projected,0.17608461463036476
CellMNN,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.19316370897800764
CellMNN,GarciaAlonsoDataset,ClassificationEntropy,projected,0.14004107612745947
CellMNN,MaDataset,ClassificationEntropy,ground_truth,0.230808882294947
CellMNN,MaDataset,ClassificationEntropy,projected,0.12950933862090833
PISDE,SuoDataset,ARI,ground_truth,0.00019622924647718615
PISDE,SuoDataset,ARI,projected,0.00821998540470545
PISDE,SuoDataset,ARI,ground_truth,0.33892931674078897
PISDE,SuoDataset,ARI,projected,0.007542426515889697
PISDE,GarciaAlonsoDataset,ARI,ground_truth,0.0030623348983177096
PISDE,GarciaAlonsoDataset,ARI,projected,0.0071560751275898254
PISDE,GarciaAlonsoDataset,ARI,ground_truth,0.21356438892862561
PISDE,GarciaAlonsoDataset,ARI,projected,0.016639894179769646
PISDE,MaDataset,ARI,ground_truth,0.008043639892374055
PISDE,MaDataset,ARI,projected,0.011806589106263888
PISDE,MaDataset,ARI,ground_truth,0.1472732567819414
PISDE,MaDataset,ARI,projected,0.001192374168058393
PISDE,SuoDataset,ClassificationEntropy,ground_truth,0.8007916269725558
PISDE,SuoDataset,ClassificationEntropy,projected,0.7752048906661688
PISDE,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.6409806929127218
PISDE,GarciaAlonsoDataset,ClassificationEntropy,projected,0.6495732184627129
PISDE,MaDataset,ClassificationEntropy,ground_truth,0.4249358931452176
PISDE,MaDataset,ClassificationEntropy,projected,0.453877602785144
Squidiff,SuoDataset,ARI,ground_truth,0.38853384155560444
Squidiff,SuoDataset,ARI,projected,0.4205836991281646
Squidiff,SuoDataset,ARI,ground_truth,0.31808488258990947
Squidiff,SuoDataset,ARI,projected,0.027738008405950317
Squidiff,GarciaAlonsoDataset,ARI,ground_truth,0.2215426209506609
Squidiff,GarciaAlonsoDataset,ARI,projected,0.3845256460796889
Squidiff,GarciaAlonsoDataset,ARI,ground_truth,0.2183803416667491
Squidiff,GarciaAlonsoDataset,ARI,projected,0.0001330537232658333
Squidiff,MaDataset,ARI,ground_truth,0.1723355813656872
Squidiff,MaDataset,ARI,projected,0.08688934448347091
Squidiff,MaDataset,ARI,ground_truth,0.14768900202248217
Squidiff,MaDataset,ARI,projected,0.0
Squidiff,SuoDataset,ClassificationEntropy,ground_truth,0.2306825390077262
Squidiff,SuoDataset,ClassificationEntropy,projected,0.7009580846096403
Squidiff,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.2846407939430951
Squidiff,GarciaAlonsoDataset,ClassificationEntropy,projected,0.794694316973124
Squidiff,MaDataset,ClassificationEntropy,ground_truth,0.31511538415113755
Squidiff,MaDataset,ClassificationEntropy,projected,0.6289813792918135
PRESCIENT,SuoDataset,ARI,ground_truth,0.00021881447918587374
PRESCIENT,SuoDataset,ARI,projected,0.008127245253760466
PRESCIENT,SuoDataset,ARI,ground_truth,0.3493131524457149
PRESCIENT,SuoDataset,ARI,projected,0.013748698318313195
scIMF,SuoDataset,ARI,ground_truth,0.00089958115112207
scIMF,SuoDataset,ARI,projected,0.022087240957712372
scIMF,SuoDataset,ARI,ground_truth,0.35007578908983084
scIMF,SuoDataset,ARI,projected,0.04145847292842109
scIMF,GarciaAlonsoDataset,ARI,ground_truth,0.005494305692469423
scIMF,GarciaAlonsoDataset,ARI,projected,0.026573567360030186
scIMF,GarciaAlonsoDataset,ARI,ground_truth,0.2514001204064234
scIMF,GarciaAlonsoDataset,ARI,projected,0.07056217527871293
scIMF,MaDataset,ARI,ground_truth,0.010470396127165736
scIMF,MaDataset,ARI,projected,0.011553396018764992
scIMF,MaDataset,ARI,ground_truth,0.16325612305321602
scIMF,MaDataset,ARI,projected,0.011696531894387588
scIMF,SuoDataset,ClassificationEntropy,ground_truth,0.7984280157349122
scIMF,SuoDataset,ClassificationEntropy,projected,0.7677016419584805
scIMF,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.6375993368570775
scIMF,GarciaAlonsoDataset,ClassificationEntropy,projected,0.6369209724437805
scIMF,MaDataset,ClassificationEntropy,ground_truth,0.4299730779007972
scIMF,MaDataset,ClassificationEntropy,projected,0.43878134400802216
PRESCIENT,GarciaAlonsoDataset,ARI,ground_truth,0.003422173723859249
PRESCIENT,GarciaAlonsoDataset,ARI,projected,0.007394007930642128
PRESCIENT,GarciaAlonsoDataset,ARI,ground_truth,0.21516354590536022
PRESCIENT,GarciaAlonsoDataset,ARI,projected,0.02099161106870279
PRESCIENT,MaDataset,ARI,ground_truth,0.0044799572425289575
PRESCIENT,MaDataset,ARI,projected,0.01361289090589915
PRESCIENT,MaDataset,ARI,ground_truth,0.14867571711766805
PRESCIENT,MaDataset,ARI,projected,0.027857897244441984
PRESCIENT,SuoDataset,ClassificationEntropy,ground_truth,0.801340231246295
PRESCIENT,SuoDataset,ClassificationEntropy,projected,0.7759945236706013
PRESCIENT,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.6427565589073925
PRESCIENT,GarciaAlonsoDataset,ClassificationEntropy,projected,0.6521964355751668
PRESCIENT,MaDataset,ClassificationEntropy,ground_truth,0.43307875202914414
PRESCIENT,MaDataset,ClassificationEntropy,projected,0.45365269777914374
scNODE,SuoDataset,ARIGEx,ground_truth,0.3334800441569412
scNODE,SuoDataset,ARIGEx,projected,0.2735160279034855
scNODE,GarciaAlonsoDataset,ARIGEx,ground_truth,0.21739867085786965
scNODE,GarciaAlonsoDataset,ARIGEx,projected,0.09521854733472282
scNODE,MaDataset,ARIGEx,ground_truth,0.1481963940497716
scNODE,MaDataset,ARIGEx,projected,0.09072693439814691
scNODE,SuoDataset,ClassificationEntropyGEx,ground_truth,0.41840771364832874
scNODE,SuoDataset,ClassificationEntropyGEx,projected,0.4941033237127604
scNODE,GarciaAlonsoDataset,ClassificationEntropyGEx,ground_truth,0.45384806176952536
scNODE,GarciaAlonsoDataset,ClassificationEntropyGEx,projected,0.3843577075984101
scNODE,MaDataset,ClassificationEntropyGEx,ground_truth,0.5102268189379137
scNODE,MaDataset,ClassificationEntropyGEx,projected,0.3057482850308915
MIOFlow,SuoDataset,ARI,ground_truth,0.00022935948932837998
MIOFlow,SuoDataset,ARI,projected,0.008553243577593838
MIOFlow,SuoDataset,ARI,ground_truth,0.3243353729162062
MIOFlow,SuoDataset,ARI,projected,0.009375081299059854
MIOFlow,GarciaAlonsoDataset,ARI,ground_truth,0.0032006970219879975
MIOFlow,GarciaAlonsoDataset,ARI,projected,0.009390836693931174
MIOFlow,GarciaAlonsoDataset,ARI,ground_truth,0.2169210543759813
MIOFlow,GarciaAlonsoDataset,ARI,projected,0.018735620965098978
MIOFlow,MaDataset,ARI,ground_truth,0.008533471790718788
MIOFlow,MaDataset,ARI,projected,0.008746611495679348
MIOFlow,MaDataset,ARI,ground_truth,0.16716653298803838
MIOFlow,MaDataset,ARI,projected,0.010248588163160152
MIOFlow,SuoDataset,ClassificationEntropy,ground_truth,0.7983014570394029
MIOFlow,SuoDataset,ClassificationEntropy,projected,0.7681435791978778
MIOFlow,GarciaAlonsoDataset,ClassificationEntropy,ground_truth,0.6387063465545505
MIOFlow,GarciaAlonsoDataset,ClassificationEntropy,projected,0.6380391659440501
MIOFlow,MaDataset,ClassificationEntropy,ground_truth,0.43318760316825206
